LBound	RBound	NodeID	ParentID	NodeName
242	253	123	79	Oregon
254	259	129	79	Pacific Northwest
260	269	132	79	Pennsylvania
270	283	137	79	Texas
284	299	144	79	Virginia
300	307	152	79	Washington
310	311	157	156	Carora, Lara State
316	317	160	159	Bangalore
318	319	161	159	Narayangaon
320	321	162	159	Nasik
322	323	163	159	Pune
324	325	164	159	Sangli
328	329	166	165	Bet Shemesh
330	331	167	165	Carmel
332	333	168	165	Galilee
334	335	169	165	Golan heights
336	337	170	165	Jerusalem
338	339	171	165	Judean Hills
340	341	172	165	Latrun
342	343	173	165	Rishon LeZion
348	349	176	175	Beit Jala
350	351	177	175	Hebron
356	357	180	179	Burgenland
358	359	181	179	Kamptal-Donauland
360	365	182	179	Northeastern and eastern Lower Austria
366	367	185	179	Southern Styria
368	369	186	179	Steiermark
370	371	187	179	Termenregion
372	373	188	179	Vienna
374	375	189	179	Wachau-Krems
378	379	191	190	Black Sea region
380	381	192	190	Danubian Plain
382	383	193	190	Rose Valley
384	385	194	190	Thrace
386	387	195	190	Valley of the Struma River
390	475	197	196	Continental Croatia
476	549	240	196	Littoral Croatia
552	553	278	277	Commandaria
556	557	280	279	Moravia
560	561	282	281	Alsace
562	613	283	281	Bordeaux
614	639	309	281	Bourgogne
640	641	322	281	Champagne
642	643	323	281	Corse
644	645	324	281	Jura
646	647	325	281	Languedoc
648	661	326	281	Loire
662	663	333	281	Lorraine
664	665	334	281	Provence
666	685	335	281	Rhône
686	697	345	281	Roussillon
698	701	351	281	Savoie
706	707	355	354	Ahr
708	709	356	354	Baden
710	715	357	354	Franken
716	717	360	354	Hessische Bergstraße
718	719	361	354	Mittelrhein
720	727	362	354	Mosel-Saar-Ruwer
728	729	366	354	Nahe
730	731	367	354	Pfalz
732	737	368	354	Rheingau
738	739	371	354	Rheinhessen
740	741	372	354	Saale-Unstrut (Sachsen-Anhalt)
742	745	373	354	Sachsen
746	749	375	354	Württemberg
752	765	378	377	Aegean islands
766	779	385	377	Central Greece
780	783	392	377	Ionian Islands
784	791	394	377	Macedonia
792	799	398	377	Peloponnesus
802	815	403	402	Balaton
816	823	410	402	Danube
824	833	414	402	Northern Hungary
834	845	419	402	Northern Transdanubia
846	855	425	402	Southern Transdanubia
858	859	431	430	Alto Adige
860	861	432	430	Basilicata
862	863	433	430	Campania
864	865	434	430	Friuli-Venezia Giulia
866	869	435	430	Liguria
870	875	437	430	Lombardia
876	883	440	430	Marche
884	905	444	430	Piemonte
906	907	455	430	Puglia
908	917	456	430	Sardinia
918	925	461	430	Sicilia
926	965	465	430	Toscana
966	967	485	430	Trentino
968	973	486	430	Umbria
974	1013	489	430	Veneto
1018	1019	511	510	Bardar
1020	1021	512	510	Codri
1022	1023	513	510	Hincheşti
1024	1025	514	510	Purkari
1028	1029	516	515	Warka
1030	1031	517	515	Zielona Góra
1034	1035	519	518	Bairrada
1036	1037	520	518	Bucelas
1038	1039	521	518	Carcavelos
1040	1041	522	518	Colares
1042	1043	523	518	Dão
1044	1045	524	518	Douro
1046	1047	525	518	Lagoa
1048	1049	526	518	Lagos
1050	1051	527	518	Madeira
1052	1053	528	518	Portimão
1054	1055	529	518	Porto e Douro
1056	1057	530	518	Ribatejo
1058	1059	531	518	Setúbal
1060	1061	532	518	Tavira
1062	1063	533	518	Vinhos Verdes
1066	1067	535	534	Skopsko vinogorje
1068	1069	536	534	Tikves
1072	1073	538	537	Cotnari
1074	1075	539	537	Dealu Mare
1076	1077	540	537	Murfatlar
1078	1079	541	537	Odobeşti
1080	1081	542	537	Recaş
1082	1083	543	537	Târnave
1084	1085	544	537	Vânju Mare
1088	1089	546	545	Caucasus
1090	1091	547	545	Krasnodar
1092	1093	548	545	Stavropoli
1096	1097	550	549	Montenegro
1098	1099	551	549	Negotin
1100	1101	552	549	Palić
1102	1103	553	549	Vršac
1106	1107	555	554	Malé Karpaty (Little Carpathians)
1108	1109	556	554	Tokaj
1112	1113	558	557	Podravje
1114	1115	559	557	Posavje
1116	1117	560	557	Primorje
1120	1121	562	561	Almansa
1122	1123	563	561	Calatayud
1124	1125	564	561	Cariñena
